115,40,107
123,40,107
167,40,107
169,40,107
176,40,107
117,40,107
132,40,107
122,52,100
120,52,100
128,52,100
135,68,101
134,68,101
127,68,101
122,68,101
168,57,99
119,57,99
94,57,99
95,57,99
109,20,100
107,20,100
112,20,100
131,20,100
117,20,100
170,40,109
1,30,235
114,53,244
17,53,244
147,78,241
250,57,253
141,57,253
101,57,253
42,126,234
43,126,244
113,117,213
98,117,213
254,117,245
131,117,245
152,122,250
174,122,250
80,122,250
100,69,245
126,83,234
254,117,232
229,85,225
207,85,241
102,67,85
169,14,98
1,14,236
62,39,227
203,39,243
92,80,243
86,80,243
225,83,233
63,86,250
128,50,217
